Reference Text (Word/Phrase)|Definition/Translation|Pronunciation (English)|IPA Pronunciation|Image Description|Image Filename|Basic Grammar
ἀδελφός|brother|ah-del-fos|aˈdelfos|||masculine noun; nominative singular
ἀλήθεια|Truth, reality, genuineness, sincerity|ah-LEH-thee-ah|aˈlɛ.θi.a|||Noun, feminine
ἀμὴν|Truly, Verily, Amen; often used as an affirmation or declaration of truth.|ah-men|aˈmen|||Interjection. Used as an affirmation or a response.
ἀνά|up, on, over, again, back, among, from|ah-nah|ɐˈnaː|||Prefix; indicates direction, repetition, or source.
ἀνὴρ|man, male, husband|AH-neer|ˈaːnɛr|||Masculine noun, nominative singular
ἄγγελος|messenger, angel, envoy; a divine messenger|AN-geh-los|/ˈæŋdʒɪlɒs/|||Masculine noun, singular.
γένος|race, family, kind, class, origin, breed; a race or stock of people; a family or clan; a kind or sort; a genus (in classification)|YEN-os|/ˈjenɔs/|||Masculine noun (γένος)
γῆ|earth, land, soil, ground|ee-theh|ˈiːθa|||Noun, feminine
γυνὴ|woman, wife|yoo-nee|/ˈjuːni/|||Noun, feminine
δίκαιος|just, righteous, equitable, blameless, innocent|dee-kai-os|ˈdiːkaɪos|||Masculine noun, nominative singular
δοῦλος|slave, servant|DOO-los|ˈduːlos|||Masculine noun, nominative singular
ἔθνος|a people, nation, tribe; a multitude of people, company, race|ETH-nos|/ˈɛθnɒs/|||Masculine noun.  Can refer to a people group, nation, or tribe.
εἰς|to, towards, into, for, upon, among|ees|ˈis|||Preposition; takes the accusative case. Has a wide range of meanings depending on context.
ἐκ|out of, from, away from, since, because|ek|/ɛk/|||Preposition
ἐν|in, on, among, within, by|en|en|||Preposition. It's a versatile preposition with a range of meanings depending on context.
ἔξοδος|exit, way out, departure, doom, ruin|EX-oh-dos|/ˈɛks.o.dɒs/|||Noun, masculine (ὁ ἔξοδος)
ἵνα|that, in order that, so that|hee-nah|ˈhi.na|||Conjunction; introduces a result clause or purpose clause.
κακός|bad, evil, wicked, poor, of bad quality|kah-KOS|ˈka.kos|||Adjective, masculine singular nominative
καινός|new, fresh, recent, novel|kye-NOS|ˈkneːos|||Adjective, masculine nominative singular
κοινός|common, shared, public, ordinary, usual|ko-NEE-nos|ˈko.nos|||adjective, masculine/feminine singular koínos, neuter singular kóinon, etc.; masculine/feminine nominative singular κoίνος
κύριος|lord, master, sir; owner, husband|KEE-ree-os|/ˈkiːri.ɒs/|||Masculine noun, nominative singular
μέγας|great, large, big, mighty, important|MEH-gahs|ˈmeɡas|||Adjective, masculine singular nominative. Can also be used as a noun.
μόνος|alone, solitary, only, single|MOH-nos|/ˈmoːnos/|||Adjective, masculine singular nominative
νεφέλη|cloud, flock|NEH-feh-lee|/ˈnefɛli/|||Noun, feminine singular
νέος|new, young|NEH-os|ˈne.os|||Masculine noun, singular form
πίστις|faith, trust, belief, conviction, fidelity|PEES-tis|ˈpistiːs|||Noun, feminine
πόλις|city, state, commonwealth; citizenship, civic duty|POH-lees|/ˈpɔːlis/|||Noun, feminine
σοφία|wisdom, skill, intelligence, cleverness|so-fee-ah|ˈso.fi.a|||Noun, feminine
ὕψος|height, depth, intensity, degree, summit|oop-sohs|/ˈupsos/|||Masculine noun, singular.
φόβος|fear, terror, dread|foh-bos|/ˈfoʊbəs/|||Masculine noun
