Reference Text (Word/Phrase)|Definition/Translation|Pronunciation (English)|IPA Pronunciation|Image Description|Image Filename|Basic Grammar
ἀλλά|but, however, nevertheless|ah-lah|aˈla|||Adverb; used to introduce a contrasting statement or idea.
ἀπό|from, by, after, since, away from|ah-POH|ˈapoː|||Preposition. It has multiple uses and can express origin, cause, time, or separation.
γάρ|A particle used in classical Greek, often difficult to translate directly. It generally indicates a reason, explanation, or justification. Can also be used for emphasis or to introduce a statement of consequence.|gahr|ˈɣar|||Particle; invariable (doesn't change form).
δέ|An archaic particle with multiple functions, including indicating concession, doubt, or emphasis; often untranslatable directly.|deh|ˈdeː|||Particle. Grammatically versatile, appearing in various positions within a sentence. Its function is primarily semantic and contextual.
εἰμί|to be|ee-mee|ˈi.mi|||verb, first-person singular present indicative
ἐγώ|I|eh-goh|ˈe.ɡoː|||Personal pronoun, first person singular, nominative case.
ἐπί|on, upon, at, to, over, among, after, in addition to|eh-PEE|ɛˈpiː|||Preposition.  It takes a genitive, dative, or accusative case depending on the meaning.
ἔχω|I have|eh-ho|ˈe.xo|||First-person singular present indicative of the verb ἔχω (ékhō), meaning 'to have'. It is an intransitive verb.
καί|and|kee|ˈki|||Conjunction (σύνδεσμος), invariable.
κατά|down, according to, in, upon, against, by|kah-TAH|ˈkata|||Preposition. Invariable. Can indicate direction, manner, cause, or agreement, among other things.
λέγω|I say, I speak, I tell|LEH-go|/ˈle.ɣo/|||Verb, 1st person singular present indicative of the verb 'λέγω' (to say, to speak, to tell)
μετά|after, with, beyond, by means of|meh-TAH|/ˈmeta/ (ˈmɛta)|||Preposition. It can also be used as an adverb.
νόμος|law, statute, rule, ordinance; a decree, a command|noh-mos|ˈno.mos|||Masculine noun. Singular form.
οὐδέν|nothing, not anything, no one|oo-den|ˈuː.dɛn|||Neuter noun, singular, invariant (doesn't decline)
οὖν|Therefore, then, so, consequently, hence|oon|ˈuːn|||Adverb. It connects clauses and indicates consequence or conclusion.
οὕτως|Thus, so, in this way, accordingly|oo'-tos|ˈuːtos|||Adverb.  It modifies verbs, adjectives, or other adverbs, indicating manner or consequence.
πᾶς|all, every, whole|pahs|ˈpaːs|||adjective, masculine singular nominative; neuter singular nominative; used as a pronoun meaning 'all' or 'everything'
περί|around, about, concerning, regarding, approximately|peh-REE|ˈperi|||Preposition; invariable (doesn't change form)
πρός|towards, to, for, near, before, in front of; also used as a preposition indicating direction, purpose, or comparison.|prohs|ˈpɾos|||Preposition, invariable (does not decline).
σῶμα|body|SO-mah|/ˈso.ma/|||Ν. Αρχ. Ουδέτερο. (Noun, Neuter)
τέ|It is an archaic particle used to indicate a command, request, or exhortation; often translated as 'let' or 'may'.|teh|teː|||Particle; invariable (doesn't change form).
τόπος|place, location, spot|TOH-pos|ˈtɔps|||Νουνορικόν (masculine noun)
υἱός|son|ee-os|ˈi.os|||Masculine noun, singular form.
φῶς|light, radiance, glow|fos|/ˈfos/|||Νεοελληνική ονοματικό, αρσενικού γένους.
χάρις|grace, charm, favor, gratitude; a gift or benefit received|har-ees|/ˈxɑɾis/|||feminine noun
χρόνος|time|hroh-nos|ˈxɾo.nos|||Masculine noun.  Singular/Plural form.
ψυχή|soul, spirit, life, essence|psi-hee|ˈpsi.xi|||Common noun, feminine gender
ὦ|An interjection expressing surprise, astonishment, or pain; also used to introduce a quotation.|oh|oʊ|||Interjection; invariable (does not inflect).
ζωή|life|zoh-EE|/ˈzo.i/|||Νεολογισμός, θηλυκό γένος.
ὁδός|road, street, way|OH-dos|hoˈdos|||Νεοελληνική: Ουσιαστικό, αρσενικό γένος.
