Reference Text (Word/Phrase)|Definition/Translation|Pronunciation (English)|IPA Pronunciation|Image Description|Image Filename|Basic Grammar
αἷμα|blood|ha-ee-mah|haîma|||Noun, neuter
αἴρω|I take, lift, raise, remove|AI-roh|aˈi̯roː|||Verb, 1st person singular present active indicative
ἀνίστημι|to raise up, set up, erect, establish, revive, raise from the dead|ah-NEE-stee-mee|aˈnistɛmi|||Verb, active, transitive/intransitive.  Deponent verb.
ἀπόλλυμι|I destroy, ruin, perish, lose, kill, slay; to bring to naught, to cause to fail; to be slain, perish, be lost|ah-POL-oo-mee|aˈpolːumi|||Verb, 1st aorist active indicative singular
βάλλω|to throw, cast, hurl, shoot; to wound, injure; to attack|BAHL-oh|/ˈbæl.oʊ/|||Verb; Transitive (often, but sometimes intransitive); Present, Future, Perfect, Aorist, Imperfect, etc. tenses exist.
βασιλεύς|king, ruler, sovereign|bah-see-loo-s|bæsɪˈleʊs|||masculine noun
βλέπω|I see, I look, I watch|bleh-po|/ˈblep.o/|||Verb, 1st person singular present indicative
γινώσκω|to know, perceive, understand, recognize, be aware of|yee-NOH-sko|/joˈnosko/|||Verb, active voice, transitive and intransitive
γράφω|I write|GRAH-fo|ˈɡɾa.fo|||Verb, 1st person singular present indicative
διδάσκω|to teach, instruct, impart knowledge|dee-DAS-koh|/dɪˈdaskɔː/|||Verb, 1st conjugation
ἐξέρχομαι|to go out, to depart, to exit, to come out, to issue|eks-er-khoh-mee|/ɛkˈsɛr.xo.maɪ/|||Verb, 1st person singular present indicative
ἤδη|already, now, at once, already, even now|ee-DHEE|ˈiː.diː|||Adverb
ἰδού|Behold! See! Lo! Look!|ee-DOH|iˈδου|||Adverb. An interjection used to draw attention to something.
καλός|beautiful, good, fine, brave, noble|kah-LOSE|ˈkalos|||Adjective, masculine singular nominative
κράζω|to shout, cry out, call loudly, roar|KRAH-zoh|/ˈkrɑːzoʊ/|||Verb, 1st conjugation
λαμβάνω|I take, I receive, I get, I grasp, I accept|lahm-AH-noh|lămˈanon|||Verb, 1st person singular present indicative active
μή|not|mee|miː|||particle; negates verbs
οἶδα|I know|oy-dah|ˈɔː.ɪ.dɑː|||Verb, first-person singular perfect indicative of εἰδέναι (eídénai)
ὀφείλω|I owe, I am indebted, I am obliged, I must|oh-FEE-loh|oˈfeːloː|||Verb, 1st person singular present active indicative
παιδίον|child, little boy|pai-dee-on|pɛ́idi̯on|||Neuter noun, diminutive of παις (pais) - boy
πατέρ|Father|pah-ter|/ˈpɑːtɛr/|||Masculine noun, nominative singular
πίνω|I drink|PEE-noh|ˈpi.no|||Verb, 1st person singular present indicative
πιστεύω|I believe, I trust, I have faith|PEH-stoo-oh|ˈpistevoː|||Verb (1st person singular present indicative)
πορεύομαι|to travel, go, proceed, journey, depart|pore-oo'-om-ai|/poˈreu̯omai/|||Verb, first-person singular present indicative active voice.
πρό|before, in front of, prior to|proh|ˈproː|||Preposition (usually invariable)
σῴζω|to save, deliver, rescue, preserve, keep alive, heal, protect|soh-zoh|ˈsoː.dzo|||Verb, active voice, present tense, first person singular
τηρέω|to watch over, guard, protect, keep, observe, preserve|tay-reh-oh|térɛːw|||Verb, 1st aorist active indicative; Deponent verb
ὑπέρ|over, above, beyond, for (in favor of), instead of|hoo-per|ˈhuːpɛr|||Preposition; can also be used as an adverb or as part of a compound word.
φεύγω|I leave, I depart, I go away|f'oo-go|ˈfeɣo|||Verb, 1st person singular present indicative
φέρω|I bear, I carry, I bring, I take|FEH-roh|/ˈfe.ɾo/|||Verb, 1st person singular present indicative
